title,genres,popularity,release_date
Brokeback Mountain,Drama|Romance,2.738721,02/09/2005
All Quiet on the Western Front,Drama|War,1.984822,21/04/1930
Wings of Desire,Drama|Fantasy|Romance,1.643982,01/01/1987
Breaking the Waves,Drama|Romance,1.0395969999999999,13/05/1996
"Crouching Tiger, Hidden Dragon",Adventure|Drama|Action|Romance,3.422243,01/10/2000
The 400 Blows,Drama,1.82213,04/05/1959
The Secret Life of Words,Drama|Romance,0.991084,15/12/2005
Akira,Science Fiction|Animation,3.9481940000000004,16/07/1988
48 Hrs.,Thriller|Action|Comedy|Crime|Drama,2.598015,07/12/1982
Star Trek: The Motion Picture,Science Fiction|Adventure|Mystery,2.6846200000000002,06/12/1979
Lost in Translation,Drama,3.556764,31/08/2003
Star Trek II: The Wrath of Khan,Action|Adventure|Science Fiction|Thriller,1.26762,03/06/1982
The Dark Knight,Drama|Action|Crime|Thriller,14.074094,16/07/2008
Wilbur Wants to Kill Himself,Comedy|Drama|Romance,0.521755,08/11/2002
Star Trek III: The Search for Spock,Science Fiction|Action|Adventure|Thriller,1.6767439999999998,31/05/1984
Knockin' on Heaven's Door,Comedy|Crime,1.2068379999999999,20/02/1997
Maybe... Maybe Not,Comedy|Drama,0.705849,05/10/1994
Ocean's Eleven,Thriller|Crime,5.155329,07/12/2001
Edward Scissorhands,Fantasy|Drama|Romance,7.547905999999999,05/12/1990
Ocean's Twelve,Thriller|Crime,4.403013,09/12/2004
Breakfast at Tiffany's,Comedy|Drama|Romance,4.320575,05/10/1961
Back to the Future Part II,Adventure|Comedy|Family|Science Fiction,4.594375,20/11/1989
The Party,Drama|Romance|Comedy,1.496456,01/01/1980
K-PAX,Drama|Science Fiction,3.3534269999999995,22/10/2001
Star Trek IV: The Voyage Home,Science Fiction|Adventure,1.615375,25/11/1986
Predator 2,Science Fiction|Action|Thriller,2.222814,20/11/1990
28 Days Later,Horror|Thriller|Science Fiction,3.9088559999999997,31/10/2002
The Party 2,Comedy,1.169062,08/12/1982
Star Trek V: The Final Frontier,Science Fiction|Action|Adventure|Thriller,2.8482990000000004,09/06/1989
"20,000 Leagues Under the Sea",Adventure|Drama|Science Fiction,2.415396,23/12/1954
Star Trek VI: The Undiscovered Country,Science Fiction|Action|Adventure|Thriller,1.068063,05/12/1991
The Big Blue,Adventure|Drama|Romance,3.323068,11/05/1988
Saw,Horror|Mystery|Crime,5.082923,01/10/2004
The Fisher King,Comedy|Drama,0.8267639999999999,09/09/1991
Blown Away,Drama|Action|Thriller,2.03262,01/07/1994
The Interpreter,Crime|Thriller,2.456687,08/04/2005
Minority Report,Action|Thriller|Science Fiction|Mystery,5.505307,20/06/2002
The Good German,War|Crime|Drama|Mystery|Romance|Thriller,0.96249,08/12/2006
Jackie Brown,Action|Crime|Drama|Thriller,3.844868,24/12/1997
A Clockwork Orange,Science Fiction|Drama,7.6936,18/12/1971
Lucky Number Slevin,Drama|Thriller|Crime|Mystery,2.870428,24/02/2006
Sin City,Action|Thriller|Crime,6.558485000000001,31/03/2005
Sin City: A Dame to Kill For,Crime|Thriller,6.6105529999999995,20/08/2014
The Name of the Rose,Drama|Thriller|Mystery,3.251648,24/09/1986
Star Trek: Generations,Science Fiction|Action|Adventure|Thriller,1.224575,17/11/1994
Amélie,Comedy|Romance,4.8385370000000005,25/04/2001
Back to the Future Part III,Adventure|Comedy|Family|Science Fiction,3.71849,25/05/1990
Braveheart,Action|Drama|History|War,6.345297,24/05/1995
To Be or Not to Be,Comedy|War,1.809168,05/03/1942
Star Trek: First Contact,Science Fiction|Action|Adventure|Thriller,1.631826,21/11/1996
Star Trek: Insurrection,Science Fiction|Action|Adventure|Thriller,1.752529,10/12/1998
Star Trek: Nemesis,Science Fiction|Action|Adventure|Thriller,1.579582,13/12/2002
Mean Streets,Drama|Crime,2.9518470000000003,02/10/1973
The Wages of Fear,Drama|Thriller|Adventure,1.032483,22/04/1953
Hotel Rwanda,Drama|History|War,1.8674819999999999,11/09/2004
Dead Poets Society,Drama,5.648708,02/06/1989
Arsenic and Old Lace,Comedy|Crime,1.8510950000000002,23/09/1944
North by Northwest,Mystery|Thriller,3.1002560000000003,08/07/1959
Saw III,Horror|Thriller|Crime,3.445938,27/10/2006
Saw II,Horror,3.231028,28/10/2005
Indiana Jones and the Kingdom of the Crystal Skull,Adventure|Action,4.229369,21/05/2008
The Terminator,Action|Thriller|Science Fiction,7.648514,26/10/1984
Volver,Comedy|Drama|Romance,2.6123279999999998,16/03/2006
East of Eden,Drama,2.016721,09/03/1955
Rebel Without a Cause,Drama,2.619712,27/10/1955
Rebecca,Drama|Mystery,1.994851,12/04/1940
Boys Don't Cry,Crime|Drama,2.3494349999999997,02/09/1999
The Outsiders,Crime|Drama,2.188329,25/03/1983
Bride of Frankenstein,Horror|Science Fiction,1.271666,21/04/1935
