Year,Ceremony,Award,Name,Film
1957,30,Short Subject (Cartoon),Birds Anonymous,"Edward Selzer, Producer"
1957,30,Short Subject (Live Action),The Wetback Hound,"Larry Lansburgh, Producer"
1957,30,Sound Recording,Sayonara,"Warner Brothers Studio Sound Department, George Groves, Sound Director"
1957,30,Special Effects,The Enemy Below,Audible Effects by Walter Rossi
1957,30,"Writing (Screenplay, Based on Material from Another Medium)",The Bridge on the River Kwai,"Michael Wilson, Carl Foreman, Pierre Boulle"
1957,30,"Writing (Story and Screenplay, Written Directly for the Screen)",Designing Woman,George Wells
1958,31,Actor,David Niven,Separate Tables
1958,31,Actor in a Supporting Role,Burl Ives,The Big Country
1958,31,Actress,Susan Hayward,I Want to Live!
1958,31,Actress in a Supporting Role,Wendy Hiller,Separate Tables
1958,31,Art Direction,Gigi,"Art Direction: William A. Horning, Preston Ames; Set Decoration: Henry Grace, Keogh Gleason"
1958,31,Cinematography (Black and White),The Defiant Ones,Sam Leavitt
1958,31,Cinematography (Color),Gigi,Joseph Ruttenberg
1958,31,Costume Design,Gigi,Cecil Beaton
1958,31,Directing,Gigi,Vincente Minnelli
1958,31,Documentary (Feature),White Wilderness,"Ben Sharpsteen, Producer"
1958,31,Documentary (Short Subject),Ama Girls,"Ben Sharpsteen, Producer"
1958,31,Film Editing,Gigi,Adrienne Fazan
1958,31,Foreign Language Film,My Uncle,France
1958,31,Music (Music Score of a Dramatic or Comedy Picture),The Old Man and the Sea,Dimitri Tiomkin
1958,31,Music (Scoring of a Musical Picture),Gigi,Andre Previn
1958,31,Music (Song),"""Gigi"" from Gigi",Music by Frederick Loewe; Lyrics by Alan Jay Lerner
1958,31,Best Motion Picture,Gigi,"Arthur Freed, Producer"
1958,31,Short Subject (Cartoon),Knighty Knight Bugs,"John W. Burton, Producer"
1958,31,Short Subject (Live Action),Grand Canyon,"Walt Disney, Producer"
1958,31,Sound,South Pacific,"Todd-AO Sound Department, Fred Hynes, Sound Director"
1958,31,Special Effects,tom thumb,Visual Effects by Tom Howard
1958,31,"Writing (Screenplay, Based on Material from Another Medium)",Gigi,Alan Jay Lerner
1958,31,"Writing (Story and Screenplay, Written Directly for the Screen)",The Defiant Ones,"Nedrick Young, Harold Jacob Smith"
1959,32,Actor,Charlton Heston,Ben-Hur
1959,32,Actor in a Supporting Role,Hugh Griffith,Ben-Hur
1959,32,Actress,Simone Signoret,Room at the Top
1959,32,Actress in a Supporting Role,Shelley Winters,The Diary of Anne Frank
1959,32,Art Direction (Black and White),The Diary of Anne Frank,"Art Direction: Lyle R. Wheeler, George W. Davis; Set Decoration: Walter M. Scott, Stuart A. Reiss"
1959,32,Art Direction (Color),Ben-Hur,"Art Direction: William A. Horning, Edward Carfagno; Set Decoration: Hugh Hunt"
1959,32,Cinematography (Black and White),The Diary of Anne Frank,William C. Mellor
1959,32,Cinematography (Color),Ben-Hur,Robert L. Surtees
1959,32,Costume Design (Black and White),Some Like It Hot,Orry-Kelly
1959,32,Costume Design (Color),Ben-Hur,Elizabeth Haffenden
1959,32,Directing,Ben-Hur,William Wyler
1959,32,Documentary (Feature),Serengeti Shall Not Die,"Bernhard Grzimek, Producer"
1959,32,Documentary (Short Subject),Glass,"Bert Haanstra, Producer"
1959,32,Film Editing,Ben-Hur,"Ralph E. Winters, John D. Dunning"
1959,32,Foreign Language Film,Black Orpheus,France
1959,32,Music (Music Score of a Dramatic or Comedy Picture),Ben-Hur,Miklos Rozsa
1959,32,Music (Scoring of a Musical Picture),Porgy and Bess,"Andre Previn, Ken Darby"
1959,32,Music (Song),"""High Hopes"" from A Hole in the Head",Music by James Van Heusen; Lyrics by Sammy Cahn
1959,32,Best Motion Picture,Ben-Hur,"Sam Zimbalist, Producer"
