Year,Ceremony,Award,Name,Film
1968,41,Art Direction,Oliver!,"Art Direction: John Box, Terence Marsh; Set Decoration: Vernon Dixon, Ken Muggleston"
1968,41,Cinematography,Romeo and Juliet,Pasqualino De Santis
1968,41,Costume Design,Romeo and Juliet,Danilo Donati
1968,41,Directing,Oliver!,Carol Reed
1968,41,Documentary (Feature),Journey into Self,"Bill McGaw, Producer"
1968,41,Documentary (Short Subject),Why Man Creates,"Saul Bass, Producer"
1968,41,Film Editing,Bullitt,Frank P. Keller
1968,41,Foreign Language Film,War and Peace,Union of Soviet Socialist Republics
1968,41,"Music (Original Score, for a Motion Picture [Not a Musical])",The Lion in Winter,John Barry
1968,41,"Music (Score of a Musical Picture, Original or Adaptation)",Oliver!,Adaptation score by John Green
1968,41,"Music (Song, Original for the Picture)","""The Windmills Of Your Mind"" from The Thomas Crown Affair",Music by Michel Legrand; Lyrics by Alan Bergman and Marilyn Bergman
1968,41,Best Picture,Oliver!,"John Woolf, Producer"
1968,41,Short Subject (Cartoon),Winnie the Pooh and the Blustery Day,"Walt Disney, Producer"
1968,41,Short Subject (Live Action),Robert Kennedy Remembered,"Charles Guggenheim, Producer"
1968,41,Sound,Oliver!,Shepperton Studio Sound Department
1968,41,Special Visual Effects,2001: A Space Odyssey,Stanley Kubrick
1968,41,"Writing (Screenplay, Based on Material from Another Medium)",The Lion in Winter,James Goldman
1968,41,"Writing (Story and Screenplay, Written Directly for the Screen)",The Producers,Mel Brooks
1968,41,Honorary Award,John Chambers,Planet of the Apes
1968,41,Honorary Award,Onna White,Oliver!
1969,42,Actor,John Wayne,True Grit
1969,42,Actor in a Supporting Role,Gig Young,"They Shoot Horses, Don't They?"
1969,42,Actress,Maggie Smith,The Prime of Miss Jean Brodie
1969,42,Actress in a Supporting Role,Goldie Hawn,Cactus Flower
1969,42,Art Direction,"Hello, Dolly! ","Art Direction: John DeCuir, Jack Martin Smith, Herman Blumenthal; Set Decoration: Walter M. Scott, George Hopkins, Raphael Bretton"
1969,42,Cinematography,Butch Cassidy and the Sundance Kid,Conrad Hall
1969,42,Costume Design,Anne of the Thousand Days,Margaret Furse
1969,42,Directing,Midnight Cowboy,John Schlesinger
1969,42,Documentary (Feature),Arthur Rubinstein - The Love of Life,"Bernard Chevry, Producer"
1969,42,Documentary (Short Subject),Czechoslovakia 1968,"Denis Sanders and Robert M. Fresco, Producers"
1969,42,Film Editing,Z,Françoise Bonnot
1969,42,Foreign Language Film,Z,Algeria
1969,42,"Music (Original Score, for a Motion Picture [Not a Musical])",Butch Cassidy and the Sundance Kid,Burt Bacharach
1969,42,"Music (Score of a Musical Picture, Original or Adaptation)","Hello, Dolly! ",Adaptation score by Lennie Hayton and Lionel Newman
1969,42,"Music (Song, Original for the Picture)","""Raindrops Keep Fallin' On My Head"" from Butch Cassidy and the Sundance Kid",Music by Burt Bacharach; Lyrics by Hal David
1969,42,Best Picture,Midnight Cowboy,"Jerome Hellman, Producer"
1969,42,Short Subject (Cartoon),It's Tough to Be a Bird,"Ward Kimball, Producer"
1969,42,Short Subject (Live Action),The Magic Machines,"Joan Keller Stern, Producer"
1969,42,Sound,"Hello, Dolly! ","Jack Solomon, Murray Spivack"
1969,42,Special Visual Effects,Marooned,Robbie Robertson
1969,42,"Writing (Screenplay, Based on Material from Another Medium)",Midnight Cowboy,Waldo Salt
1969,42,"Writing (Story and Screenplay, Based on Material Not Previously Published or Produced)",Butch Cassidy and the Sundance Kid,William Goldman
1970,43,Actor,George C. Scott,Patton
1970,43,Actor in a Supporting Role,John Mills,Ryan's Daughter
1970,43,Actress,Glenda Jackson,Women in Love
1970,43,Actress in a Supporting Role,Helen Hayes,Airport
1970,43,Actress in a Supporting Role,Sally Kellerman,MA*S*H
1970,43,Art Direction,Patton,"Art Direction: Urie McCleary, Gil Parrondo; Set Decoration: Antonio Mateos, Pierre-Louis Thevenet"
1970,43,Cinematography,Ryan's Daughter,Freddie Young
1970,43,Costume Design,Cromwell,Nino Novarese
1970,43,Directing,MA*S*H,Robert Altman
1970,43,Directing,Patton,Franklin J. Schaffner
1970,43,Documentary (Feature),Woodstock,"Bob Maurice, Producer"
1970,43,Documentary (Short Subject),Interviews with My Lai Veterans,"Joseph Strick, Producer"
1970,43,Film Editing,MA*S*H,Danford B. Greene
1970,43,Film Editing,Patton,Hugh S. Fowler
1970,43,Foreign Language Film,Investigation of a Citizen above Suspicion,Italy
1970,43,Music (Original Score),Love Story,Francis Lai
1970,43,Music (Original Song Score),Let It Be,Music and lyrics by The Beatles
1970,43,"Music (Song, Original for the Picture)","""For All We Know"" from Lovers and Other Strangers",Music by Fred Karlin; Lyrics by Robb Royer (aka Robb Wilson) and James Griffin (aka Arthur James)
1970,43,Best Picture,MA*S*H,"Ingo Preminger, Producer"
1970,43,Best Picture,Patton,"Frank McCarthy, Producer"
1970,43,Short Subject (Cartoon),Is It Always Right to Be Right?,"Nick Bosustow, Producer"
1970,43,Short Subject (Live Action),The Resurrection of Broncho Billy,"John Longenecker, Producer"
1970,43,Sound,Patton,"Douglas Williams, Don Bassman"
1970,43,Special Visual Effects,Tora! Tora! Tora!,"A. D. Flowers, L. B. Abbott"
1970,43,"Writing (Screenplay, Based on Material from Another Medium)",M*A*S*H,"Ring Lardner, Jr."
1970,43,"Writing (Story and Screenplay, Based on Factual Material or Material Not Previously Published or Produced)",Patton,"Francis Ford Coppola, Edmund H. North"
1971,44,Actor,Gene Hackman,The French Connection
1971,44,Actor in a Supporting Role,Ben Johnson,The Last Picture Show
1971,44,Actress,Jane Fonda,Klute
1971,44,Actress in a Supporting Role,Cloris Leachman,The Last Picture Show
1971,44,Art Direction,Nicholas and Alexandra,"Art Direction: John Box, Ernest Archer, Jack Maxsted, Gil Parrondo; Set Decoration: Vernon Dixon"
1971,44,Cinematography,Fiddler on the Roof,Oswald Morris
1971,44,Costume Design,Nicholas and Alexandra,"Yvonne Blake, Antonio Castillo"
1971,44,Directing,The French Connection,William Friedkin
1971,44,Documentary (Feature),The Hellstrom Chronicle,"Walon Green, Producer"
1971,44,Documentary (Short Subject),Sentinels of Silence,"Manuel Arango and Robert Amram, Producers"
1971,44,Film Editing,The French Connection,Jerry Greenberg
1971,44,Foreign Language Film,The Garden of the Finzi Continis,Italy
1971,44,Music (Original Dramatic Score),Summer of '42,Michel Legrand
1971,44,Music (Scoring: Adaptation and Original Song Score),Fiddler on the Roof,Adaptation Score by John Williams
1971,44,"Music (Song, Original for the Picture)","""Theme From Shaft"" from Shaft",Music and Lyrics by Isaac Hayes
1971,44,Best Picture,The French Connection,"Philip D'Antoni, Producer"
1971,44,Short Subject (Animated),The Crunch Bird,"Ted Petok, Producer"
1971,44,Short Subject (Live Action),Sentinels of Silence,"Manuel Arango and Robert Amram, Producers"
1971,44,Sound,Fiddler on the Roof,"Gordon K. McCallum, David Hildyard"
1971,44,Special Visual Effects,Bedknobs and Broomsticks,"Alan Maley, Eustace Lycett, Danny Lee"
1971,44,"Writing (Screenplay, Based on Material from Another Medium)",The French Connection,Ernest Tidyman
1971,44,"Writing (Story and Screenplay, Based on Factual Material or Material Not Previously Published or Produced)",The Hospital,Paddy Chayefsky
1972,45,Actor,Marlon Brando,The Godfather
1972,45,Actor in a Supporting Role,Joel Grey,Cabaret
1972,45,Actress,Liza Minnelli,Cabaret
1972,45,Actress in a Supporting Role,Eileen Heckart,Butterflies Are Free
1972,45,Art Direction,Cabaret,"Art Direction: Rolf Zehetbauer, Jurgen Kiebach; Set Decoration: Herbert Strabel"
1972,45,Cinematography,Cabaret,Geoffrey Unsworth
1972,45,Costume Design,Travels with My Aunt,Anthony Powell
1972,45,Directing,Cabaret,Bob Fosse
1972,45,Documentary (Feature),Marjoe,"Howard Smith and Sarah Kernochan, Producers"
1972,45,Documentary (Short Subject),This Tiny World,"Charles Huguenot van der Linden and Martina Huguenot van der Linden, Producers"
1972,45,Film Editing,Cabaret,David Bretherton
1972,45,Foreign Language Film,The Discreet Charm of the Bourgeoisie,France
1972,45,Music (Original Dramatic Score),Limelight,"Charles Chaplin, Raymond Rasch, Larry Russell"
1972,45,Music (Scoring: Adaptation and Original Song Score),Cabaret,Adaptation Score by Ralph Burns
1972,45,"Music (Song, Original for the Picture)","""The Morning After"" from The Poseidon Adventure",Music and Lyrics by Al Kasha and Joel Hirschhorn
1972,45,Best Picture,The Godfather,"Albert S. Ruddy, Producer"
1972,45,Short Subject (Animated),A Christmas Carol,"Richard Williams, Producer"
1972,45,Short Subject (Live Action),Norman Rockwell's World...An American Dream,"Richard Barclay, Producer"
1972,45,Sound,Cabaret,"Robert Knudson, David Hildyard"
1972,45,"Writing (Screenplay, Based on Material from Another Medium)",The Godfather,"Mario Puzo, Francis Ford Coppola"
1972,45,"Writing (Story and Screenplay, Based on Factual Material or Material Not Previously Published or Produced)",The Candidate,Jeremy Larner
1972,45,Special Achievement Award (Visual Effects),The Poseidon Adventure,"L. B. Abbott, A. D. Flowers"
1973,46,Actor,Jack Lemmon,Save the Tiger
1973,46,Actor in a Supporting Role,John Houseman,The Paper Chase
1973,46,Actress,Glenda Jackson,A Touch of Class
1973,46,Actress in a Supporting Role,Tatum O'Neal,Paper Moon
1973,46,Art Direction,The Sting,Art Direction: Henry Bumstead; Set Decoration: James Payne
1973,46,Cinematography,Cries and Whispers,Sven Nykvist
1973,46,Costume Design,The Sting,Edith Head
1973,46,Directing,The Sting,George Roy Hill
1973,46,Documentary (Feature),The Great American Cowboy,"Kieth Merrill, Producer"
1973,46,Documentary (Short Subject),Princeton: A Search for Answers,"Julian Krainin and DeWitt L. Sage, Jr., Producers"
1973,46,Film Editing,The Sting,William Reynolds
1973,46,Foreign Language Film,Day for Night,France
1973,46,Music (Original Dramatic Score),The Way We Were,Marvin Hamlisch
1973,46,Music (Scoring: Original Song Score and Adaptation -Or- Scoring: Adaptation),The Sting,Adaptation Score by Marvin Hamlisch
1973,46,Music (Song),"""The Way We Were"" from The Way We Were",Music by Marvin Hamlisch; Lyrics by Alan Bergman and Marilyn Bergman
1973,46,Best Picture,The Sting,"Tony Bill, Michael Phillips and Julia Phillips, Producers"
1973,46,Short Subject (Animated),Frank Film,"Frank Mouris, Producer"
1973,46,Short Subject (Live Action),The Bolero,"Allan Miller and William Fertik, Producers"
1973,46,Sound,The Exorcist,"Robert Knudson, Chris Newman"
1973,46,"Writing (Screenplay, Based on Material from Another Medium)",The Exorcist,William Peter Blatty
1973,46,"Writing (Story and Screenplay, Based on Factual Material or Material Not Previously Published or Produced)",The Sting,David S. Ward
1974,47,Actor,Art Carney,Harry and Tonto
1974,47,Actor in a Supporting Role,Robert De Niro,The Godfather Part II
1974,47,Actress,Ellen Burstyn,Alice Doesn't Live Here Anymore
1974,47,Actress in a Supporting Role,Ingrid Bergman,Murder on the Orient Express
1974,47,Art Direction,The Godfather Part II,"Art Direction: Dean Tavoularis, Angelo Graham; Set Decoration: George R. Nelson"
1974,47,Cinematography,The Towering Inferno,"Fred Koenekamp, Joseph Biroc"
1974,47,Costume Design,The Great Gatsby,Theoni V. Aldredge
1974,47,Directing,The Godfather Part II,Francis Ford Coppola
1974,47,Documentary (Feature),Hearts and Minds,"Peter Davis and Bert Schneider, Producers"
1974,47,Documentary (Short Subject),Don't,"Robin Lehman, Producer"
1974,47,Film Editing,The Towering Inferno,"Harold F. Kress, Carl Kress"
1974,47,Foreign Language Film,Amarcord,Italy
1974,47,Music (Original Dramatic Score),The Godfather Part II,"Nino Rota, Carmine Coppola"
1974,47,Music (Scoring: Original Song Score and Adaptation -Or- Scoring: Adaptation),The Great Gatsby,Adaptation Score by Nelson Riddle
1974,47,Music (Song),"""We May Never Love Like This Again"" from The Towering Inferno",Music and Lyrics by Al Kasha and Joel Hirschhorn
1974,47,Best Picture,The Godfather Part II,"Francis Ford Coppola, Producer; Gray Frederickson and Fred Roos, Co-Producers"
1974,47,Short Film (Animated),Closed Mondays,"Will Vinton and Bob Gardiner, Producers"
1974,47,Short Film (Live Action),One-Eyed Men Are Kings,"Paul Claudon and Edmond Sechan, Producers"
1974,47,Sound,Earthquake,"Ronald Pierce, Melvin Metcalfe, Sr."
1974,47,Writing (Original Screenplay),Chinatown,Robert Towne
1974,47,Writing (Screenplay Adapted from Other Material),The Godfather Part II,"Francis Ford Coppola, Mario Puzo"
1974,47,Special Achievement Award (Visual Effects),Earthquake,"Frank Brendel, Glen Robinson, Albert Whitlock"
1975,48,Actor,Jack Nicholson,One Flew over the Cuckoo's Nest
1975,48,Actor in a Supporting Role,George Burns,The Sunshine Boys
1975,48,Actress,Louise Fletcher,One Flew over the Cuckoo's Nest
1975,48,Actress in a Supporting Role,Lee Grant,Shampoo
1975,48,Art Direction,Barry Lyndon,"Art Direction: Ken Adam, Roy Walker; Set Decoration: Vernon Dixon"
1975,48,Cinematography,Barry Lyndon,John Alcott
1975,48,Costume Design,Barry Lyndon,"Ulla-Britt Soderlund, Milena Canonero"
1975,48,Directing,One Flew over the Cuckoo's Nest,Milos Forman
1975,48,Documentary (Feature),The Man Who Skied down Everest,"F. R. Crawley, James Hager and Dale Hartleben, Producers"
1975,48,Documentary (Short Subject),The End of the Game,"Claire Wilbur and Robin Lehman, Producers"
1975,48,Film Editing,Jaws,Verna Fields
1975,48,Foreign Language Film,Dersu Uzala,Union of Soviet Socialist Republics
1975,48,Music (Original Score),Jaws,John Williams
1975,48,Music (Scoring: Original Song Score and Adaptation -Or- Scoring: Adaptation),Barry Lyndon,Adaptation Score by Leonard Rosenman
1975,48,Music (Original Song),"""I'm Easy"" from Nashville",Music and Lyrics by Keith Carradine
1975,48,Best Picture,One Flew over the Cuckoo's Nest,"Saul Zaentz and Michael Douglas, Producers"
1975,48,Short Film (Animated),Great,"Bob Godfrey, Producer"
1975,48,Short Film (Live Action),Angel and Big Joe,"Bert Salzman, Producer"
1975,48,Sound,Jaws,"Robert L. Hoyt, Roger Heman, Earl Madery, John Carter"
1975,48,Writing (Original Screenplay),Dog Day Afternoon,Frank Pierson
1975,48,Writing (Screenplay Adapted from Other Material),One Flew over the Cuckoo's Nest,"Lawrence Hauben, Bo Goldman"
1975,48,Special Achievement Award (Sound Effects),The Hindenburg,Peter Berkos
1975,48,Special Achievement Award (Visual Effects),The Hindenburg,"Albert Whitlock, Glen Robinson"
1976,49,Actor in a Leading Role,Peter Finch,Network
1976,49,Actor in a Supporting Role,Jason Robards,All the President's Men
1976,49,Actress in a Leading Role,Faye Dunaway,Network
1976,49,Actress in a Supporting Role,Beatrice Straight,Network
1976,49,Art Direction,All the President's Men,Art Direction: George Jenkins; Set Decoration: George Gaines
1976,49,Cinematography,Bound for Glory,Haskell Wexler
1976,49,Costume Design,Fellini's Casanova,Danilo Donati
1976,49,Directing,Rocky,John G. Avildsen
1976,49,Documentary (Feature),"Harlan County, U.S.A. ","Barbara Kopple, Producer"
1976,49,Documentary (Short Subject),Number Our Days,"Lynne Littman, Producer"
1976,49,Film Editing,Rocky,"Richard Halsey, Scott Conrad"
1976,49,Foreign Language Film,Black and White in Color,Ivory Coast
1976,49,Music (Original Score),The Omen,Jerry Goldsmith
1976,49,Music (Original Song Score and Its Adaptation or Adaptation Score),Bound for Glory,Adaptation Score by Leonard Rosenman
1976,49,Music (Original Song),"""Evergreen (Love Theme From A Star Is Born)"" from A Star Is Born",Music by Barbra Streisand; Lyrics by Paul Williams
1976,49,Best Picture,Rocky,"Irwin Winkler and Robert Chartoff, Producers"
1976,49,Short Film (Animated),Leisure,"Suzanne Baker, Producer"
1976,49,Short Film (Live Action),In the Region of Ice,"Andre Guttfreund and Peter Werner, Producers"
1976,49,Sound,All the President's Men,"Arthur Piantadosi, Les Fresholtz, Dick Alexander, Jim Webb"
1976,49,"Writing (Screenplay, Based on Material from Another Medium)",All the President's Men,William Goldman
1976,49,"Writing (Screenplay Written Directly for the Screen, Based on Factual Material or on Story Material Not Previously Published or Produced)",Network,Paddy Chayefsky
1976,49,Special Achievement Award (Visual Effects),King Kong,"Carlo Rambaldi, Glen Robinson, Frank Van der Veer"
1976,49,Special Achievement Award (Visual Effects),Logan's Run,"L. B. Abbott, Glen Robinson, Matthew Yuricich"
1977,50,Actor in a Leading Role,Richard Dreyfuss,The Goodbye Girl
1977,50,Actor in a Supporting Role,Jason Robards,Julia
1977,50,Actress in a Leading Role,Diane Keaton,Annie Hall
1977,50,Actress in a Supporting Role,Vanessa Redgrave,Julia
1977,50,Art Direction,Star Wars,"Art Direction: John Barry, Norman Reynolds, Leslie Dilley; Set Decoration: Roger Christian"
1977,50,Cinematography,Close Encounters of the Third Kind,Vilmos Zsigmond
1977,50,Costume Design,Star Wars,John Mollo
1977,50,Directing,Annie Hall,Woody Allen
1977,50,Documentary (Feature),Who Are the DeBolts? And Where Did They Get Nineteen Kids?,"John Korty, Dan McCann and Warren L. Lockhart, Producers"
1977,50,Documentary (Short Subject),Gravity Is My Enemy,"John Joseph and Jan Stussy, Producers"
1977,50,Film Editing,Star Wars,"Paul Hirsch, Marcia Lucas, Richard Chew"
1977,50,Foreign Language Film,Madame Rosa,France
1977,50,Music (Original Score),Star Wars,John Williams
1977,50,Music (Original Song Score and Its Adaptation or Adaptation Score),A Little Night Music,Adaptation Score by Jonathan Tunick
1977,50,Music (Original Song),"""You Light Up My Life"" from You Light Up My Life",Music and Lyrics by Joseph Brooks
1977,50,Best Picture,Annie Hall,"Charles H. Joffe, Producer"
1977,50,Short Film (Animated),The Sand Castle,"Co Hoedeman, Producer"
1977,50,Short Film (Live Action),I'll Find a Way,"Beverly Shaffer and Yuki Yoshida, Producers"
1977,50,Sound,Star Wars,"Don MacDougall, Ray West, Bob Minkler, Derek Ball"
1977,50,Visual Effects,Star Wars,"John Stears, John Dykstra, Richard Edlund, Grant McCune, Robert Blalack"
1977,50,"Writing (Screenplay, Based on Material from Another Medium)",Julia,Alvin Sargent
1977,50,"Writing (Screenplay Written Directly for the Screen, Based on Factual Material or on Story Material Not Previously Published or Produced)",Annie Hall,"Woody Allen, Marshall Brickman"
1977,50,Special Achievement Award,"Benjamin Burtt, Jr.",Star Wars
1977,50,Special Achievement Award (Sound Effects Editing),Close Encounters of the Third Kind,Frank E. Warner
1978,51,Actor in a Leading Role,Jon Voight,Coming Home
1978,51,Actor in a Supporting Role,Christopher Walken,The Deer Hunter
1978,51,Actress in a Leading Role,Jane Fonda,Coming Home
1978,51,Actress in a Supporting Role,Maggie Smith,California Suite
1978,51,Art Direction,Heaven Can Wait,"Art Direction: Paul Sylbert, Edwin O'Donovan; Set Decoration: George Gaines"
1978,51,Cinematography,Days of Heaven,Nestor Almendros
1978,51,Costume Design,Death on the Nile,Anthony Powell
1978,51,Directing,The Deer Hunter,Michael Cimino
1978,51,Documentary (Feature),Scared Straight!,"Arnold Shapiro, Producer"
1978,51,Documentary (Short Subject),The Flight of the Gossamer Condor,"Jacqueline Phillips Shedd and Ben Shedd, Producers"
1978,51,Film Editing,The Deer Hunter,Peter Zinner
1978,51,Foreign Language Film,Get Out Your Handkerchiefs,France
1978,51,Music (Adaptation Score),The Buddy Holly Story,Joe Renzetti
1978,51,Music (Original Score),Midnight Express,Giorgio Moroder
1978,51,Music (Original Song),"""Last Dance"" from Thank God It's Friday",Music and Lyrics by Paul Jabara
1978,51,Best Picture,The Deer Hunter,"Barry Spikings, Michael Deeley, Michael Cimino and John Peverall, Producers"
1978,51,Short Film (Animated),Special Delivery,"Eunice Macaulay and John Weldon, Producers"
1978,51,Short Film (Live Action),Teenage Father,"Taylor Hackford, Producer"
1978,51,Sound,The Deer Hunter,"Richard Portman, William McCaughey, Aaron Rochin, Darin Knight"
1978,51,Writing (Screenplay Based on Material from Another Medium),Midnight Express,Oliver Stone
1978,51,Writing (Screenplay Written Directly for the Screen),Coming Home,"Story by Nancy Dowd; Screenplay by Waldo Salt, Robert C. Jones"
1978,51,Special Achievement Award (Visual Effects),Superman,"Les Bowie, Colin Chilvers, Denys Coop, Roy Field, Derek Meddings, Zoran Perisic"
1979,52,Actor in a Leading Role,Dustin Hoffman,Kramer vs. Kramer
1979,52,Actor in a Supporting Role,Melvyn Douglas,Being There
1979,52,Actress in a Leading Role,Sally Field,Norma Rae
1979,52,Actress in a Supporting Role,Meryl Streep,Kramer vs. Kramer
1979,52,Art Direction,All That Jazz,"Art Direction: Philip Rosenberg, Tony Walton; Set Decoration: Edward Stewart, Gary Brink"
1979,52,Cinematography,Apocalypse Now,Vittorio Storaro
1979,52,Costume Design,All That Jazz,Albert Wolsky
1979,52,Directing,Kramer vs. Kramer,Robert Benton
1979,52,Documentary (Feature),Best Boy,"Ira Wohl, Producer"
1979,52,Documentary (Short Subject),Paul Robeson: Tribute to an Artist,"Saul J. Turell, Producer"
1979,52,Film Editing,All That Jazz,Alan Heim
1979,52,Foreign Language Film,The Tin Drum,Federal Republic of Germany
1979,52,Music (Original Score),A Little Romance,Georges Delerue
1979,52,Music (Original Song Score and Its Adaptation -Or- Adaptation Score),All That Jazz,Adaptation Score by Ralph Burns
1979,52,Music (Original Song),"""It Goes Like It Goes"" from Norma Rae",Music by David Shire; Lyric by Norman Gimbel
1979,52,Best Picture,Kramer vs. Kramer,"Stanley R. Jaffe, Producer"
1979,52,Short Film (Animated),Every Child,"Derek Lamb, Producer"
1979,52,Short Film (Live Action),Board and Care,"Sarah Pillsbury and Ron Ellis, Producers"
1979,52,Sound,Apocalypse Now,"Walter Murch, Mark Berger, Richard Beggs, Nat Boxer"
1979,52,Visual Effects,Alien,"H.R. Giger, Carlo Rambaldi, Brian Johnson, Nick Allder, Denys Ayling"
1979,52,Writing (Screenplay Based on Material from Another Medium),Kramer vs. Kramer,Robert Benton
1979,52,Writing (Screenplay Written Directly for the Screen),Breaking Away,Steve Tesich
1979,52,Special Achievement Award (Sound Editing),The Black Stallion,Alan Splet
1980,53,Actor in a Leading Role,Robert De Niro,Raging Bull
1980,53,Actor in a Supporting Role,Timothy Hutton,Ordinary People
1980,53,Actress in a Leading Role,Sissy Spacek,Coal Miner's Daughter
1980,53,Actress in a Supporting Role,Mary Steenburgen,Melvin and Howard
1980,53,Art Direction,Tess,"Art Direction: Pierre Guffroy, Jack Stephens"
1980,53,Cinematography,Tess,"Geoffrey Unsworth, Ghislain Cloquet"
1980,53,Costume Design,Tess,Anthony Powell
1980,53,Directing,Ordinary People,Robert Redford
1980,53,Documentary (Feature),From Mao to Mozart: Isaac Stern in China,"Murray Lerner, Producer"
1980,53,Documentary (Short Subject),Karl Hess: Toward Liberty,"Roland Hallé and Peter W. Ladue, Producers"
1980,53,Film Editing,Raging Bull,Thelma Schoonmaker
1980,53,Foreign Language Film,Moscow Does Not Believe in Tears,Union of Soviet Socialist Republics
1980,53,Music (Original Score),Fame,Michael Gore
1980,53,Music (Original Song),"""Fame"" from Fame",Music by Michael Gore; Lyric by Dean Pitchford
1980,53,Best Picture,Ordinary People,"Ronald L. Schwary, Producer"
1980,53,Short Film (Animated),The Fly,"Ferenc Rofusz, Producer"
1980,53,Short Film (Dramatic Live Action),The Dollar Bottom,"Lloyd Phillips, Producer"
1980,53,Sound,The Empire Strikes Back,"Bill Varney, Steve Maslow, Gregg Landaker, Peter Sutton"
1980,53,Writing (Screenplay Based on Material from Another Medium),Ordinary People,Alvin Sargent
1980,53,Writing (Screenplay Written Directly for the Screen),Melvin and Howard,Bo Goldman
1980,53,Special Achievement Award (Visual Effects),The Empire Strikes Back,"Brian Johnson, Richard Edlund, Dennis Muren, Bruce Nicholson"
1981,54,Actor in a Leading Role,Henry Fonda,On Golden Pond
1981,54,Actor in a Supporting Role,John Gielgud,Arthur
1981,54,Actress in a Leading Role,Katharine Hepburn,On Golden Pond
1981,54,Actress in a Supporting Role,Maureen Stapleton,Reds
1981,54,Art Direction,Raiders of the Lost Ark,"Art Direction: Norman Reynolds, Leslie Dilley; Set Decoration: Michael Ford"
1981,54,Cinematography,Reds,Vittorio Storaro
1981,54,Costume Design,Chariots of Fire,Milena Canonero
1981,54,Directing,Reds,Warren Beatty
1981,54,Documentary (Feature),Genocide,"Arnold Schwartzman and Rabbi Marvin Hier, Producers"
1981,54,Documentary (Short Subject),Close Harmony,"Nigel Noble, Producer"
1981,54,Film Editing,Raiders of the Lost Ark,Michael Kahn
1981,54,Foreign Language Film,Mephisto,Hungary
1981,54,Makeup,An American Werewolf in London,Rick Baker
1981,54,Music (Original Score),Chariots of Fire,Vangelis
1981,54,Music (Original Song),"""Arthur's Theme (Best That You Can Do)"" from Arthur","Music and Lyric by Burt Bacharach, Carole Bayer Sager, Christopher Cross and Peter Allen"
1981,54,Best Picture,Chariots of Fire,"David Puttnam, Producer"
1981,54,Short Film (Animated),Crac,"Frédéric Back, Producer"
1981,54,Short Film (Live Action),Violet,"Paul Kemp and Shelley Levinson, Producers"
1981,54,Sound,Raiders of the Lost Ark,"Bill Varney, Steve Maslow, Gregg Landaker, Roy Charman"
1981,54,Visual Effects,Raiders of the Lost Ark,"Richard Edlund, Kit West, Bruce Nicholson, Joe Johnston"
1981,54,Writing (Screenplay Based on Material from Another Medium),On Golden Pond,Ernest Thompson
1981,54,Writing (Screenplay Written Directly for the Screen),Chariots of Fire,Colin Welland
1981,54,Special Achievement Award (Sound Effects Editing),Raiders of the Lost Ark,"Ben Burtt, Richard L. Anderson"
1982,55,Actor in a Leading Role,Ben Kingsley,Gandhi
1982,55,Actor in a Supporting Role,"Louis Gossett, Jr.",An Officer and a Gentleman
1982,55,Actress in a Leading Role,Meryl Streep,Sophie's Choice
1982,55,Actress in a Supporting Role,Jessica Lange,Tootsie
1982,55,Art Direction,Gandhi,"Art Direction: Stuart Craig, Bob Laing; Set Decoration: Michael Seirton"
1982,55,Cinematography,Gandhi,"Billy Williams, Ronnie Taylor"
1982,55,Costume Design,Gandhi,"John Mollo, Bhanu Athaiya"
1982,55,Directing,Gandhi,Richard Attenborough
1982,55,Documentary (Feature),Just Another Missing Kid,"John Zaritsky, Producer"
1982,55,Documentary (Short Subject),If You Love This Planet,"Edward Le Lorrain and Terri Nash, Producers"
1982,55,Film Editing,Gandhi,John Bloom
1982,55,Foreign Language Film,Volver a Empezar ('To Begin Again'),Spain
1982,55,Makeup,Quest for Fire,"Sarah Monzani, Michèle Burke"
1982,55,Music (Original Score),E.T. The Extra-Terrestrial,John Williams
1982,55,Music (Original Song Score and Its Adaptation -Or- Adaptation Score),Victor/Victoria,Song Score by Henry Mancini and Leslie Bricusse; Adaptation Score by Henry Mancini
1982,55,Music (Original Song),"""Up Where We Belong"" from An Officer and a Gentleman",Music by Jack Nitzsche and Buffy Sainte-Marie; Lyric by Will Jennings
1982,55,Best Picture,Gandhi,"Richard Attenborough, Producer"
1982,55,Short Film (Animated),Tango,"Zbigniew Rybczynski, Producer"
1982,55,Short Film (Live Action),A Shocking Accident,"Christine Oestreicher, Producer"
1982,55,Sound,E.T. The Extra-Terrestrial,"Robert Knudson, Robert Glass, Don Digirolamo, Gene Cantamessa"
1982,55,Sound Effects Editing,E.T. The Extra-Terrestrial,"Charles L. Campbell, Ben Burtt"
1982,55,Visual Effects,E.T. The Extra-Terrestrial,"Carlo Rambaldi, Dennis Muren, Kenneth F. Smith"
1982,55,Writing (Screenplay Based on Material from Another Medium),Missing,"Costa-Gavras, Donald Stewart"
1982,55,Writing (Screenplay Written Directly for the Screen),Gandhi,John Briley
1983,56,Actor in a Leading Role,Robert Duvall,Tender Mercies
1983,56,Actor in a Supporting Role,Jack Nicholson,Terms of Endearment
1983,56,Actress in a Leading Role,Shirley MacLaine,Terms of Endearment
1983,56,Actress in a Supporting Role,Linda Hunt,The Year of Living Dangerously
1983,56,Art Direction,Fanny & Alexander,Anna Asp
1983,56,Cinematography,Fanny & Alexander,Sven Nykvist
1983,56,Costume Design,Fanny & Alexander,Marik Vos
