geoid,geoname,precio,fecha
8743,Baleares,92.1575,2021-06-27
8744,Ceuta,92.1575,2021-06-27
8745,Melilla,92.1575,2021-06-27
8741,Península,168.15541666666667,2021-06-28
8742,Canarias,168.15541666666667,2021-06-28
8743,Baleares,168.15541666666667,2021-06-28
8744,Ceuta,168.16375,2021-06-28
8745,Melilla,168.16375,2021-06-28
8741,Península,174.385,2021-06-29
8742,Canarias,174.385,2021-06-29
8743,Baleares,174.385,2021-06-29
8744,Ceuta,174.39125,2021-06-29
8745,Melilla,174.39125,2021-06-29
8741,Península,174.5,2021-06-30
8742,Canarias,174.5,2021-06-30
8743,Baleares,174.5,2021-06-30
8744,Ceuta,174.5025,2021-06-30
8745,Melilla,174.5025,2021-06-30
8741,Península,172.695,2021-07-01
8742,Canarias,172.695,2021-07-01
8743,Baleares,172.695,2021-07-01
8744,Ceuta,172.69583333333333,2021-07-01
8745,Melilla,172.69583333333333,2021-07-01
8741,Península,181.40958333333333,2021-07-02
8742,Canarias,181.40958333333333,2021-07-02
8743,Baleares,181.40958333333333,2021-07-02
8744,Ceuta,181.41583333333332,2021-07-02
8745,Melilla,181.41583333333332,2021-07-02
8741,Península,121.7525,2021-07-03
8742,Canarias,121.7525,2021-07-03
8743,Baleares,121.7525,2021-07-03
8744,Ceuta,121.7525,2021-07-03
8745,Melilla,121.7525,2021-07-03
8741,Península,106.3125,2021-07-04
8742,Canarias,106.3125,2021-07-04
8743,Baleares,106.3125,2021-07-04
8744,Ceuta,106.3125,2021-07-04
8745,Melilla,106.3125,2021-07-04
8741,Península,174.92125,2021-07-05
8742,Canarias,174.92125,2021-07-05
8743,Baleares,174.92125,2021-07-05
8744,Ceuta,174.92916666666667,2021-07-05
8745,Melilla,174.92916666666667,2021-07-05
8741,Península,174.37875,2021-07-06
8742,Canarias,174.37875,2021-07-06
8743,Baleares,174.37875,2021-07-06
8744,Ceuta,174.38583333333332,2021-07-06
8745,Melilla,174.38583333333332,2021-07-06
8741,Península,179.93083333333334,2021-07-07
8742,Canarias,179.93083333333334,2021-07-07
8743,Baleares,179.93083333333334,2021-07-07
8744,Ceuta,179.9375,2021-07-07
8745,Melilla,179.9375,2021-07-07
8741,Península,174.03666666666666,2021-07-08
8742,Canarias,174.03666666666666,2021-07-08
8743,Baleares,174.03666666666666,2021-07-08
8744,Ceuta,174.03833333333333,2021-07-08
8745,Melilla,174.03833333333333,2021-07-08
8741,Península,173.52958333333333,2021-07-09
8742,Canarias,173.52958333333333,2021-07-09
8743,Baleares,173.52958333333333,2021-07-09
8744,Ceuta,173.53541666666666,2021-07-09
8745,Melilla,173.53541666666666,2021-07-09
8741,Península,116.88375,2021-07-10
8742,Canarias,116.88375,2021-07-10
8743,Baleares,116.88375,2021-07-10
8744,Ceuta,116.88375,2021-07-10
8745,Melilla,116.88375,2021-07-10
8741,Península,118.6475,2021-07-11
8742,Canarias,118.6475,2021-07-11
8743,Baleares,118.6475,2021-07-11
8744,Ceuta,118.6475,2021-07-11
8745,Melilla,118.6475,2021-07-11
8741,Península,167.67166666666665,2021-07-12
8742,Canarias,167.67166666666665,2021-07-12
8743,Baleares,167.67166666666665,2021-07-12
8744,Ceuta,167.68,2021-07-12
8745,Melilla,167.68,2021-07-12
8741,Península,175.26291666666665,2021-07-13
8742,Canarias,175.26291666666665,2021-07-13
8743,Baleares,175.26291666666665,2021-07-13
8744,Ceuta,175.26916666666668,2021-07-13
8745,Melilla,175.26916666666668,2021-07-13
8741,Península,163.97958333333332,2021-07-14
8742,Canarias,163.97958333333332,2021-07-14
8743,Baleares,163.97958333333332,2021-07-14
8744,Ceuta,163.98541666666668,2021-07-14
8745,Melilla,163.98541666666668,2021-07-14
8741,Península,166.95916666666668,2021-07-15
8742,Canarias,166.95916666666668,2021-07-15
8743,Baleares,166.95916666666668,2021-07-15
8744,Ceuta,166.96291666666667,2021-07-15
8745,Melilla,166.96291666666667,2021-07-15
8741,Península,167.10666666666665,2021-07-16
8742,Canarias,167.10666666666665,2021-07-16
8743,Baleares,167.10666666666665,2021-07-16
8744,Ceuta,167.11291666666668,2021-07-16
8745,Melilla,167.11291666666668,2021-07-16
8741,Península,117.78125,2021-07-17
8742,Canarias,117.78125,2021-07-17
8743,Baleares,117.78125,2021-07-17
8744,Ceuta,117.78125,2021-07-17
8745,Melilla,117.78125,2021-07-17
8741,Península,100.60958333333333,2021-07-18
8742,Canarias,100.60958333333333,2021-07-18
8743,Baleares,100.60958333333333,2021-07-18
8744,Ceuta,100.60958333333333,2021-07-18
8745,Melilla,100.60958333333333,2021-07-18
8741,Península,180.61958333333334,2021-07-19
8742,Canarias,180.61958333333334,2021-07-19
8743,Baleares,180.61958333333334,2021-07-19
8744,Ceuta,180.62666666666667,2021-07-19
8745,Melilla,180.62666666666667,2021-07-19
8741,Península,182.93166666666667,2021-07-20
8742,Canarias,182.93166666666667,2021-07-20
8743,Baleares,182.93166666666667,2021-07-20
8744,Ceuta,182.93958333333333,2021-07-20
8745,Melilla,182.93958333333333,2021-07-20
8741,Península,188.24875,2021-07-21
8742,Canarias,188.24875,2021-07-21
8743,Baleares,188.24875,2021-07-21
8744,Ceuta,188.25583333333333,2021-07-21
8745,Melilla,188.25583333333333,2021-07-21
8741,Península,183.16833333333332,2021-07-22
8742,Canarias,183.16833333333332,2021-07-22
8743,Baleares,183.16833333333332,2021-07-22
8744,Ceuta,183.17125,2021-07-22
8745,Melilla,183.17125,2021-07-22
8741,Península,177.12541666666667,2021-07-23
8742,Canarias,177.12541666666667,2021-07-23
8743,Baleares,177.12541666666667,2021-07-23
8744,Ceuta,177.1325,2021-07-23
8745,Melilla,177.1325,2021-07-23
8741,Península,119.2325,2021-07-24
8742,Canarias,119.2325,2021-07-24
8743,Baleares,119.2325,2021-07-24
8744,Ceuta,119.2325,2021-07-24
8745,Melilla,119.2325,2021-07-24
8741,Península,121.2725,2021-07-25
8742,Canarias,121.2725,2021-07-25
8743,Baleares,121.2725,2021-07-25
8744,Ceuta,121.2725,2021-07-25
8745,Melilla,121.2725,2021-07-25
8741,Península,181.50666666666666,2021-07-26
8742,Canarias,181.50666666666666,2021-07-26
8743,Baleares,181.50666666666666,2021-07-26
8744,Ceuta,181.515,2021-07-26
8745,Melilla,181.515,2021-07-26
8741,Península,180.81416666666667,2021-07-27
8742,Canarias,180.81416666666667,2021-07-27
8743,Baleares,180.81416666666667,2021-07-27
8744,Ceuta,180.82083333333333,2021-07-27
8745,Melilla,180.82083333333333,2021-07-27
8741,Península,176.9625,2021-07-28
8742,Canarias,176.9625,2021-07-28
8743,Baleares,176.9625,2021-07-28
8744,Ceuta,176.96916666666667,2021-07-28
8745,Melilla,176.96916666666667,2021-07-28
8741,Península,180.55,2021-07-29
8742,Canarias,180.55,2021-07-29
8743,Baleares,180.55,2021-07-29
8744,Ceuta,180.55375,2021-07-29
8745,Melilla,180.55375,2021-07-29
8741,Península,177.08416666666668,2021-07-30
8742,Canarias,177.08416666666668,2021-07-30
8743,Baleares,177.08416666666668,2021-07-30
8744,Ceuta,177.095,2021-07-30
8745,Melilla,177.095,2021-07-30
8741,Península,86.80875,2021-07-31
8742,Canarias,86.80875,2021-07-31
8743,Baleares,86.80875,2021-07-31
8744,Ceuta,86.80875,2021-07-31
8745,Melilla,86.80875,2021-07-31
8741,Península,105.03875,2021-08-01
8742,Canarias,105.03875,2021-08-01
8743,Baleares,105.03875,2021-08-01
8744,Ceuta,105.03875,2021-08-01
8745,Melilla,105.03875,2021-08-01
8741,Península,187.53041666666667,2021-08-02
8742,Canarias,187.53041666666667,2021-08-02
8743,Baleares,187.53041666666667,2021-08-02
8744,Ceuta,187.53666666666666,2021-08-02
8745,Melilla,187.53666666666666,2021-08-02
8741,Península,189.78375,2021-08-03
8742,Canarias,189.78375,2021-08-03
8743,Baleares,189.78375,2021-08-03
8744,Ceuta,189.78666666666666,2021-08-03
8745,Melilla,189.78666666666666,2021-08-03
8741,Península,188.56875,2021-08-04
8742,Canarias,188.56875,2021-08-04
8743,Baleares,188.56875,2021-08-04
8744,Ceuta,188.57166666666666,2021-08-04
8745,Melilla,188.57166666666666,2021-08-04
8741,Península,185.06583333333333,2021-08-05
8742,Canarias,185.06583333333333,2021-08-05
