region,fecha,casos,omicron
London,11/11/2021,1150,False
London,11/11/2021,1,True
London,12/11/2021,1022,False
London,12/11/2021,2,True
London,13/11/2021,1119,False
London,13/11/2021,1,True
London,14/11/2021,679,False
London,15/11/2021,1660,False
London,15/11/2021,3,True
London,16/11/2021,1653,False
London,16/11/2021,4,True
London,17/11/2021,1667,False
London,17/11/2021,3,True
London,18/11/2021,1922,False
London,18/11/2021,4,True
London,19/11/2021,1391,False
London,19/11/2021,4,True
London,20/11/2021,1359,False
London,20/11/2021,1,True
London,21/11/2021,1365,False
London,22/11/2021,1757,False
London,22/11/2021,5,True
London,23/11/2021,1692,False
London,23/11/2021,2,True
London,24/11/2021,1580,False
London,24/11/2021,5,True
London,25/11/2021,1804,False
London,25/11/2021,3,True
London,26/11/2021,1598,False
London,26/11/2021,10,True
London,27/11/2021,1440,False
London,27/11/2021,12,True
London,28/11/2021,1098,False
London,28/11/2021,9,True
London,29/11/2021,2267,False
London,29/11/2021,18,True
London,30/11/2021,1759,False
London,30/11/2021,24,True
London,01/12/2021,1708,False
London,01/12/2021,27,True
London,02/12/2021,1619,False
London,02/12/2021,36,True
London,03/12/2021,1552,False
London,03/12/2021,49,True
London,04/12/2021,1888,False
London,04/12/2021,113,True
London,05/12/2021,1400,False
London,05/12/2021,161,True
London,06/12/2021,2300,False
London,06/12/2021,355,True
London,07/12/2021,2056,False
London,07/12/2021,655,True
London,08/12/2021,1990,False
London,08/12/2021,1068,True
London,09/12/2021,2252,False
London,09/12/2021,1513,True
London,10/12/2021,2524,False
London,10/12/2021,2023,True
London,11/12/2021,846,False
London,11/12/2021,877,True
London,12/12/2021,1242,False
London,12/12/2021,1833,True
London,13/12/2021,868,False
London,13/12/2021,2403,True
North East,01/11/2021,1701,False
North East,01/11/2021,1,True
North East,02/11/2021,477,False
North East,03/11/2021,905,False
North East,04/11/2021,628,False
North East,05/11/2021,706,False
North East,06/11/2021,527,False
North East,07/11/2021,439,False
North East,08/11/2021,1116,False
North East,09/11/2021,994,False
North East,09/11/2021,1,True
North East,10/11/2021,1088,False
North East,11/11/2021,1158,False
North East,12/11/2021,1155,False
North East,12/11/2021,1,True
North East,13/11/2021,839,False
North East,14/11/2021,864,False
North East,15/11/2021,1176,False
North East,16/11/2021,1080,False
North East,17/11/2021,1468,False
North East,18/11/2021,1333,False
North East,18/11/2021,2,True
North East,19/11/2021,1197,False
North East,20/11/2021,1025,False
North East,21/11/2021,938,False
North East,22/11/2021,1464,False
North East,23/11/2021,1345,False
North East,24/11/2021,1306,False
North East,25/11/2021,1197,False
North East,25/11/2021,1,True
North East,26/11/2021,1044,False
North East,27/11/2021,585,False
North East,28/11/2021,1159,False
North East,28/11/2021,1,True
North East,29/11/2021,1496,False
North East,29/11/2021,2,True
North East,30/11/2021,1465,False
North East,30/11/2021,1,True
North East,01/12/2021,1452,False
North East,01/12/2021,4,True
North East,02/12/2021,1276,False
North East,02/12/2021,2,True
North East,03/12/2021,1063,False
North East,03/12/2021,2,True
North East,04/12/2021,888,False
North East,04/12/2021,1,True
North East,05/12/2021,981,False
North East,05/12/2021,2,True
North East,06/12/2021,1408,False
North East,06/12/2021,5,True
North East,07/12/2021,1213,False
North East,07/12/2021,5,True
North East,08/12/2021,1347,False
North East,08/12/2021,3,True
North East,09/12/2021,1230,False
North East,09/12/2021,31,True
North East,10/12/2021,1029,False
North East,10/12/2021,47,True
North East,11/12/2021,892,False
North East,11/12/2021,54,True
North East,12/12/2021,523,False
North East,12/12/2021,62,True
North East,13/12/2021,1259,False
North East,13/12/2021,207,True
North West,01/11/2021,3136,False
North West,01/11/2021,3,True
North West,02/11/2021,2305,False
North West,02/11/2021,3,True
North West,03/11/2021,2033,False
North West,04/11/2021,1983,False
North West,04/11/2021,1,True
North West,05/11/2021,2566,False
North West,05/11/2021,1,True
North West,06/11/2021,2283,False
North West,06/11/2021,1,True
North West,07/11/2021,2484,False
North West,08/11/2021,3702,False
North West,08/11/2021,1,True
North West,09/11/2021,3550,False
North West,09/11/2021,3,True
North West,10/11/2021,3361,False
North West,10/11/2021,3,True
North West,11/11/2021,3350,False
North West,11/11/2021,1,True
North West,12/11/2021,3070,False
North West,12/11/2021,1,True
North West,13/11/2021,2545,False
North West,14/11/2021,2522,False
North West,15/11/2021,4250,False
North West,15/11/2021,1,True
North West,16/11/2021,3783,False
North West,16/11/2021,1,True
North West,17/11/2021,3719,False
North West,18/11/2021,3690,False
North West,19/11/2021,3166,False
North West,19/11/2021,1,True
North West,20/11/2021,2712,False
North West,21/11/2021,2600,False
North West,22/11/2021,3864,False
North West,23/11/2021,3782,False
North West,24/11/2021,3432,False
North West,24/11/2021,1,True
North West,25/11/2021,3387,False
North West,25/11/2021,3,True
North West,26/11/2021,3083,False
North West,26/11/2021,1,True
North West,27/11/2021,2393,False
North West,27/11/2021,4,True
North West,28/11/2021,2764,False
North West,28/11/2021,3,True
North West,29/11/2021,4091,False
North West,29/11/2021,4,True
North West,30/11/2021,4297,False
North West,30/11/2021,12,True
North West,01/12/2021,4275,False
North West,01/12/2021,19,True
North West,02/12/2021,3916,False
North West,02/12/2021,28,True
North West,03/12/2021,3559,False
North West,03/12/2021,39,True
North West,04/12/2021,1120,False
North West,04/12/2021,14,True
North West,05/12/2021,2890,False
North West,05/12/2021,51,True
North West,06/12/2021,2874,False
North West,06/12/2021,128,True
North West,07/12/2021,3078,False
North West,07/12/2021,240,True
North West,08/12/2021,2373,False
North West,08/12/2021,308,True
North West,09/12/2021,2391,False
North West,09/12/2021,377,True
North West,10/12/2021,3171,False
North West,10/12/2021,701,True
North West,11/12/2021,2584,False
North West,11/12/2021,711,True
North West,12/12/2021,2332,False
North West,12/12/2021,984,True
North West,13/12/2021,2119,False
North West,13/12/2021,1301,True
South East,01/11/2021,1547,False
South East,01/11/2021,9,True
South East,02/11/2021,1180,False
South East,02/11/2021,2,True
South East,03/11/2021,1453,False
South East,03/11/2021,10,True
South East,04/11/2021,1013,False
South East,04/11/2021,1,True
South East,05/11/2021,1088,False
South East,05/11/2021,4,True
South East,06/11/2021,789,False
South East,07/11/2021,825,False
South East,07/11/2021,3,True
South East,08/11/2021,1261,False
South East,08/11/2021,6,True
South East,09/11/2021,1672,False
South East,09/11/2021,4,True
South East,10/11/2021,1530,False
South East,10/11/2021,3,True
South East,11/11/2021,1382,False
South East,11/11/2021,5,True
South East,12/11/2021,1271,False
South East,12/11/2021,1,True
South East,13/11/2021,1627,False
South East,13/11/2021,3,True
South East,14/11/2021,1391,False
South East,14/11/2021,3,True
South East,15/11/2021,3698,False
South East,15/11/2021,7,True
